<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
LKOH;D;14.08.2024;0:00:00;6461;6469.5;6410.5;6444.5;805551
LKOH;D;15.08.2024;0:00:00;6449;6539;6371.5;6385;1230958
LKOH;D;16.08.2024;0:00:00;6395;6418;6334;6347;687640
LKOH;D;17.08.2024;0:00:00;6350.5;6360;6226.5;6239.5;887467
LKOH;D;20.08.2024;0:00:00;6254.5;6284;6103.5;6138.5;1231451
LKOH;D;21.08.2024;0:00:00;6140.5;6248;6050;6147.5;1503069
LKOH;D;22.08.2024;0:00:00;6154.5;6325;6107;6309.5;1956847
LKOH;D;23.08.2024;0:00:00;6314;6538.5;6278;6419;3932856
LKOH;D;24.08.2024;0:00:00;6420;6472;6320;6428;1502560
LKOH;D;27.08.2024;0:00:00;6590;6677;6506;6645;1887396
LKOH;D;28.08.2024;0:00:00;6644;6680;6458;6526.5;1117345
LKOH;D;29.08.2024;0:00:00;6520;6522.5;6302.5;6389;1519495
LKOH;D;30.08.2024;0:00:00;6401;6411;6250.5;6324;1585370
LKOH;D;31.08.2024;0:00:00;6330;6334;6118;6145;1547109
LKOH;D;03.09.2024;0:00:00;6135;6205;6040.5;6115;2107448
LKOH;D;04.09.2024;0:00:00;6150.5;6246.5;6069;6184;2087565
LKOH;D;05.09.2024;0:00:00;6189;6297;6171;6265;1372944
LKOH;D;06.09.2024;0:00:00;6284;6360;6235;6272;1046295
LKOH;D;07.09.2024;0:00:00;6281.5;6357;6232;6332;883767
LKOH;D;10.09.2024;0:00:00;6348.5;6525.5;6348.5;6520;1133830
LKOH;D;11.09.2024;0:00:00;6536;6548.5;6376;6435;1045068
LKOH;D;12.09.2024;0:00:00;6445;6500;6402;6413.5;963522
LKOH;D;13.09.2024;0:00:00;6422.5;6448;6370.5;6448;1056307
LKOH;D;14.09.2024;0:00:00;6451;6625;6304;6624.5;1568383
LKOH;D;17.09.2024;0:00:00;6650.5;6824.5;6581.5;6820.5;1602651
LKOH;D;18.09.2024;0:00:00;6846;6860;6742;6803;1063208
LKOH;D;19.09.2024;0:00:00;6803.5;6831;6730.5;6745.5;826301
LKOH;D;20.09.2024;0:00:00;6751;6830;6718;6811;1109744
LKOH;D;21.09.2024;0:00:00;6816;6898;6812.5;6897.5;753258
LKOH;D;24.09.2024;0:00:00;6899.5;7000;6899;6982.5;885780
LKOH;D;25.09.2024;0:00:00;6988.5;7050.5;6865.5;6954.5;1011862
LKOH;D;26.09.2024;0:00:00;6954.5;6990;6860;6867;823409
LKOH;D;27.09.2024;0:00:00;6848;6890;6770;6890;858921
LKOH;D;28.09.2024;0:00:00;6909;6946;6831.5;6914.5;550205
LKOH;D;01.10.2024;0:00:00;6948;6972.5;6852;6874;708345
LKOH;D;02.10.2024;0:00:00;6876;6995.5;6773.5;6969;1399003
LKOH;D;03.10.2024;0:00:00;6968;6980;6781.5;6816.5;1021012
LKOH;D;04.10.2024;0:00:00;6823;6957;6780.5;6956;1063151
LKOH;D;05.10.2024;0:00:00;6957.5;7076.5;6925.5;7009;1210461
LKOH;D;08.10.2024;0:00:00;7024;7066;6956;7055;962170
