<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
LKOH;60;13.08.2024;11:00:00;6461;6469.5;6435.5;6440.5;108044
LKOH;60;13.08.2024;12:00:00;6440;6447.5;6419;6446;59377
LKOH;60;13.08.2024;13:00:00;6446.5;6451;6435.5;6451;103283
LKOH;60;13.08.2024;14:00:00;6451;6452;6421;6435;92650
LKOH;60;13.08.2024;15:00:00;6435;6436;6410.5;6424.5;50124
LKOH;60;13.08.2024;16:00:00;6424.5;6440.5;6424;6439.5;53306
LKOH;60;13.08.2024;17:00:00;6438.5;6453;6432;6447;110788
LKOH;60;13.08.2024;18:00:00;6447;6453;6440.5;6450.5;56443
LKOH;60;13.08.2024;19:00:00;6450.5;6452.5;6414.5;6446.5;88113
LKOH;60;13.08.2024;20:00:00;6438.5;6441;6433.5;6437;17022
LKOH;60;13.08.2024;21:00:00;6438;6445.5;6435.5;6445.5;28160
LKOH;60;13.08.2024;22:00:00;6445.5;6447.5;6440;6440.5;8494
LKOH;60;13.08.2024;23:00:00;6441;6448;6437.5;6446;9061
LKOH;60;14.08.2024;0:00:00;6446;6449.5;6442;6444.5;20686
LKOH;60;14.08.2024;11:00:00;6449;6493.5;6430;6468;155923
LKOH;60;14.08.2024;12:00:00;6468;6539;6455;6525.5;193701
LKOH;60;14.08.2024;13:00:00;6525;6532.5;6489;6510;126119
LKOH;60;14.08.2024;14:00:00;6510;6514.5;6455.5;6472;152591
LKOH;60;14.08.2024;15:00:00;6471.5;6482.5;6450;6463;100824
LKOH;60;14.08.2024;16:00:00;6463;6477;6453.5;6454;88133
LKOH;60;14.08.2024;17:00:00;6454.5;6454.5;6440;6445;54211
LKOH;60;14.08.2024;18:00:00;6446;6446;6402;6425.5;116760
LKOH;60;14.08.2024;19:00:00;6425.5;6427.5;6385;6421.5;142254
LKOH;60;14.08.2024;20:00:00;6415.5;6419;6371.5;6389.5;55969
LKOH;60;14.08.2024;21:00:00;6389.5;6397;6377;6393;17987
LKOH;60;14.08.2024;22:00:00;6390.5;6402;6389;6391.5;10784
LKOH;60;14.08.2024;23:00:00;6391;6394.5;6387.5;6389;6965
LKOH;60;15.08.2024;0:00:00;6389;6389.5;6383;6385;8737
LKOH;60;15.08.2024;11:00:00;6395;6418;6364;6370.5;130255
LKOH;60;15.08.2024;12:00:00;6370;6398.5;6361;6372.5;75549
LKOH;60;15.08.2024;13:00:00;6372;6407;6351.5;6396;98834
LKOH;60;15.08.2024;14:00:00;6395.5;6396;6372;6381.5;32261
LKOH;60;15.08.2024;15:00:00;6382;6384;6357.5;6365;43473
LKOH;60;15.08.2024;16:00:00;6365;6367.5;6350;6350;64360
LKOH;60;15.08.2024;17:00:00;6350;6360;6336;6341.5;69087
LKOH;60;15.08.2024;18:00:00;6341;6356;6337.5;6338;56766
LKOH;60;15.08.2024;19:00:00;6337.5;6353;6334;6353;43277
LKOH;60;15.08.2024;20:00:00;6350;6370;6341;6362;24451
LKOH;60;15.08.2024;21:00:00;6362.5;6363.5;6355;6360;7937
LKOH;60;15.08.2024;22:00:00;6359.5;6360;6349;6352;9214
LKOH;60;15.08.2024;23:00:00;6352;6355;6337;6349.5;24030
LKOH;60;16.08.2024;0:00:00;6350;6353.5;6340;6347;8146
LKOH;60;16.08.2024;11:00:00;6350.5;6360;6322;6335;89873
LKOH;60;16.08.2024;12:00:00;6334.5;6350;6307;6317;78191
LKOH;60;16.08.2024;13:00:00;6317.5;6330.5;6310;6311;75951
LKOH;60;16.08.2024;14:00:00;6311.5;6319.5;6298;6308;86428
LKOH;60;16.08.2024;15:00:00;6308.5;6315;6300;6304;41405
LKOH;60;16.08.2024;16:00:00;6304;6320;6290.5;6313;67129
LKOH;60;16.08.2024;17:00:00;6313.5;6328.5;6307.5;6320;65169
LKOH;60;16.08.2024;18:00:00;6320.5;6323.5;6310;6311.5;35410
LKOH;60;16.08.2024;19:00:00;6311.5;6312;6289;6304.5;56892
LKOH;60;16.08.2024;20:00:00;6295;6300;6274;6277.5;50217
LKOH;60;16.08.2024;21:00:00;6277.5;6285;6256;6256.5;73713
LKOH;60;16.08.2024;22:00:00;6256.5;6260;6244;6250;62141
LKOH;60;16.08.2024;23:00:00;6250;6258.5;6227.5;6228;64957
LKOH;60;17.08.2024;0:00:00;6228;6257.5;6226.5;6239.5;39991
LKOH;60;19.08.2024;11:00:00;6254.5;6270;6210;6244;209660
LKOH;60;19.08.2024;12:00:00;6245;6284;6242;6251.5;82153
LKOH;60;19.08.2024;13:00:00;6252;6254;6204;6208;152830
LKOH;60;19.08.2024;14:00:00;6208;6209.5;6165.5;6201;153204
LKOH;60;19.08.2024;15:00:00;6201;6210;6181;6194.5;73381
LKOH;60;19.08.2024;16:00:00;6194.5;6200;6181;6185;76824
LKOH;60;19.08.2024;17:00:00;6184.5;6218;6181.5;6195;154337
LKOH;60;19.08.2024;18:00:00;6195;6203.5;6179;6188;48818
LKOH;60;19.08.2024;19:00:00;6187;6187.5;6151;6151;77428
LKOH;60;19.08.2024;20:00:00;6151;6157.5;6103.5;6136.5;122675
LKOH;60;19.08.2024;21:00:00;6136.5;6136.5;6116;6120;21019
LKOH;60;19.08.2024;22:00:00;6120;6134.5;6119;6123.5;15916
LKOH;60;19.08.2024;23:00:00;6123.5;6134.5;6116.5;6130.5;28315
LKOH;60;20.08.2024;0:00:00;6129.5;6143;6129;6138.5;14891
LKOH;60;20.08.2024;11:00:00;6140.5;6155;6072;6081;186620
LKOH;60;20.08.2024;12:00:00;6081;6113;6050;6112;176623
