<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;;;;;;;;;;<DATE>;<CLOSE>
MRKY;D;14.08.2024;0:00:00;0.06635;0.0698;0.06635;0.0689;224390000;;;;;;;;;;14.08.2024;0,0689
MRKY;D;15.08.2024;0:00:00;0.0697;0.08135;0.06965;0.0706;1392300000;;;;;;;;;;15.08.2024;0,0706
MRKY;D;16.08.2024;0:00:00;0.07075;0.0765;0.07075;0.071;402890000;;;;;;;;;;16.08.2024;0,071
MRKY;D;17.08.2024;0:00:00;0.0719;0.07455;0.0712;0.0728;205350000;;;;;;;;;;17.08.2024;0,0728
MRKY;D;20.08.2024;0:00:00;0.073;0.0743;0.07;0.0702;136440000;;;;;;;;;;20.08.2024;0,0702
MRKY;D;21.08.2024;0:00:00;0.0704;0.07055;0.0685;0.0695;83380000;;;;;;;;;;21.08.2024;0,0695
MRKY;D;22.08.2024;0:00:00;0.06905;0.07185;0.06865;0.07055;101690000;;;;;;;;;;22.08.2024;0,07055
MRKY;D;23.08.2024;0:00:00;0.06995;0.07025;0.0673;0.06765;127210000;;;;;;;;;;23.08.2024;0,06765
MRKY;D;24.08.2024;0:00:00;0.06725;0.06745;0.0652;0.06535;69320000;;;;;;;;;;24.08.2024;0,06535
MRKY;D;27.08.2024;0:00:00;0.0658;0.0697;0.0658;0.06845;112090000;;;;;;;;;;27.08.2024;0,06845
MRKY;D;28.08.2024;0:00:00;0.06895;0.06945;0.0662;0.0667;32850000;;;;;;;;;;28.08.2024;0,0667
MRKY;D;29.08.2024;0:00:00;0.06695;0.0681;0.06525;0.06585;61690000;;;;;;;;;;29.08.2024;0,06585
MRKY;D;30.08.2024;0:00:00;0.06615;0.06645;0.0651;0.0654;32080000;;;;;;;;;;30.08.2024;0,0654
MRKY;D;31.08.2024;0:00:00;0.0651;0.0655;0.0621;0.06255;62600000;;;;;;;;;;31.08.2024;0,06255
MRKY;D;03.09.2024;0:00:00;0.0619;0.06395;0.05505;0.05575;162730000;;;;;;;;;;03.09.2024;0,05575
MRKY;D;04.09.2024;0:00:00;0.056;0.0584;0.055;0.05555;64650000;;;;;;;;;;04.09.2024;0,05555
MRKY;D;05.09.2024;0:00:00;0.0564;0.05795;0.0556;0.0576;63110000;;;;;;;;;;05.09.2024;0,0576
MRKY;D;06.09.2024;0:00:00;0.0587;0.05995;0.057;0.0581;99930000;;;;;;;;;;06.09.2024;0,0581
MRKY;D;07.09.2024;0:00:00;0.0585;0.0585;0.0577;0.0581;15150000;;;;;;;;;;07.09.2024;0,0581
MRKY;D;10.09.2024;0:00:00;0.05815;0.06185;0.05795;0.06025;107260000;;;;;;;;;;10.09.2024;0,06025
MRKY;D;11.09.2024;0:00:00;0.0609;0.06295;0.0601;0.06205;115590000;;;;;;;;;;11.09.2024;0,06205
MRKY;D;12.09.2024;0:00:00;0.0623;0.0639;0.06145;0.06195;16480000;;;;;;;;;;12.09.2024;0,06195
MRKY;D;13.09.2024;0:00:00;0.0613;0.0613;0.05825;0.0591;54110000;;;;;;;;;;13.09.2024;0,0591
MRKY;D;14.09.2024;0:00:00;0.05905;0.0601;0.05795;0.0591;51100000;;;;;;;;;;14.09.2024;0,0591
MRKY;D;17.09.2024;0:00:00;0.05955;0.0611;0.05915;0.06105;50370000;;;;;;;;;;17.09.2024;0,06105
MRKY;D;18.09.2024;0:00:00;0.0609;0.0615;0.0602;0.06115;59690000;;;;;;;;;;18.09.2024;0,06115
MRKY;D;19.09.2024;0:00:00;0.061;0.06635;0.0609;0.0629;430610000;;;;;;;;;;19.09.2024;0,0629
MRKY;D;20.09.2024;0:00:00;0.0629;0.0652;0.061;0.06225;159010000;;;;;;;;;;20.09.2024;0,06225
MRKY;D;21.09.2024;0:00:00;0.06115;0.06485;0.0611;0.06315;164740000;;;;;;;;;;21.09.2024;0,06315
MRKY;D;24.09.2024;0:00:00;0.06435;0.06495;0.0634;0.0649;123020000;;;;;;;;;;24.09.2024;0,0649
MRKY;D;25.09.2024;0:00:00;0.0653;0.0662;0.06395;0.06425;64390000;;;;;;;;;;25.09.2024;0,06425
MRKY;D;26.09.2024;0:00:00;0.0644;0.06685;0.06325;0.06555;225720000;;;;;;;;;;26.09.2024;0,06555
