<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
MRKY;60;13/08/24;11:00:00;0.06635;0.06895;0.06635;0.06895;55660000
MRKY;60;13/08/24;12:00:00;0.06875;0.0698;0.0683;0.0688;28990000
MRKY;60;13/08/24;13:00:00;0.06875;0.06915;0.06835;0.06875;12150000
MRKY;60;13/08/24;14:00:00;0.0687;0.069;0.0684;0.069;5290000
MRKY;60;13/08/24;15:00:00;0.0689;0.0689;0.0681;0.06815;19770000
MRKY;60;13/08/24;16:00:00;0.0684;0.0692;0.06825;0.06825;15120000
MRKY;60;13/08/24;17:00:00;0.06825;0.0696;0.0675;0.069;36450000
MRKY;60;13/08/24;18:00:00;0.06885;0.0698;0.0687;0.06975;21500000
MRKY;60;13/08/24;19:00:00;0.0694;0.06975;0.0687;0.0689;29460000
MRKY;60;14/08/24;11:00:00;0.0697;0.08135;0.06965;0.0769;843590000
MRKY;60;14/08/24;12:00:00;0.0767;0.0795;0.0756;0.07725;162480000
MRKY;60;14/08/24;13:00:00;0.07725;0.0786;0.07625;0.07825;68130000
MRKY;60;14/08/24;14:00:00;0.07815;0.07845;0.0746;0.0765;105150000
MRKY;60;14/08/24;15:00:00;0.0765;0.0781;0.07595;0.07685;50070000
MRKY;60;14/08/24;16:00:00;0.077;0.077;0.07555;0.0758;31920000
MRKY;60;14/08/24;17:00:00;0.07585;0.076;0.0754;0.0758;4520000
MRKY;60;14/08/24;18:00:00;0.07585;0.07595;0.07255;0.07295;37310000
MRKY;60;14/08/24;19:00:00;0.073;0.07315;0.0706;0.0706;89130000
MRKY;60;15/08/24;11:00:00;0.07075;0.0765;0.07075;0.0743;215030000
MRKY;60;15/08/24;12:00:00;0.0743;0.0744;0.0711;0.07145;52660000
MRKY;60;15/08/24;13:00:00;0.07135;0.07265;0.071;0.07175;65370000
MRKY;60;15/08/24;14:00:00;0.07175;0.07295;0.071;0.0716;31080000
MRKY;60;15/08/24;15:00:00;0.07165;0.07175;0.07115;0.0712;10290000
MRKY;60;15/08/24;16:00:00;0.0715;0.0717;0.071;0.0712;8540000
MRKY;60;15/08/24;17:00:00;0.0712;0.07125;0.07075;0.071;8930000
MRKY;60;15/08/24;18:00:00;0.0711;0.07165;0.0711;0.0713;4640000
MRKY;60;15/08/24;19:00:00;0.0713;0.0713;0.071;0.071;6350000
MRKY;60;16/08/24;11:00:00;0.0719;0.07375;0.0712;0.07295;96550000
MRKY;60;16/08/24;12:00:00;0.07295;0.0736;0.07235;0.0724;24360000
MRKY;60;16/08/24;13:00:00;0.07245;0.0731;0.0724;0.07305;6840000
MRKY;60;16/08/24;14:00:00;0.073;0.0733;0.073;0.07325;9660000
MRKY;60;16/08/24;15:00:00;0.07325;0.0733;0.07305;0.0733;10630000
