<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
MRKY;60;13/12/24;11:00:00;0.04735;0.0478;0.0473;0.04745;1530000
MRKY;60;13/12/24;12:00:00;0.04745;0.0477;0.0467;0.0471;1820000
MRKY;60;13/12/24;13:00:00;0.0472;0.0472;0.0468;0.0468;200000
MRKY;60;13/12/24;14:00:00;0.0468;0.04715;0.04655;0.04655;2300000
MRKY;60;13/12/24;15:00:00;0.04655;0.0467;0.0465;0.0466;37360000
MRKY;60;13/12/24;16:00:00;0.04695;0.0472;0.04665;0.0472;1070000
MRKY;60;13/12/24;17:00:00;0.04725;0.04725;0.04685;0.04685;370000
MRKY;60;13/12/24;18:00:00;0.04685;0.0471;0.0465;0.0471;3080000
MRKY;60;13/12/24;19:00:00;0.0468;0.04695;0.0465;0.0465;6350000
MRKY;60;16/12/24;11:00:00;0.0465;0.04745;0.04555;0.0456;15370000
MRKY;60;16/12/24;12:00:00;0.0456;0.04575;0.04525;0.0453;1110000
MRKY;60;16/12/24;13:00:00;0.04525;0.04525;0.04485;0.04495;12270000
MRKY;60;16/12/24;14:00:00;0.04485;0.045;0.0445;0.0446;1900000
MRKY;60;16/12/24;15:00:00;0.0449;0.0449;0.0445;0.0445;2140000
MRKY;60;16/12/24;16:00:00;0.04455;0.04455;0.04315;0.04315;20650000
MRKY;60;16/12/24;17:00:00;0.04325;0.0438;0.043;0.0435;5200000
MRKY;60;16/12/24;18:00:00;0.04345;0.0435;0.04325;0.0434;3810000
MRKY;60;16/12/24;19:00:00;0.0434;0.0436;0.04245;0.0427;5760000
MRKY;60;17/12/24;11:00:00;0.04265;0.0427;0.04175;0.04255;9350000
MRKY;60;17/12/24;12:00:00;0.04225;0.04225;0.042;0.0422;1300000
MRKY;60;17/12/24;13:00:00;0.04215;0.04245;0.0417;0.0421;2570000
MRKY;60;17/12/24;14:00:00;0.04205;0.04225;0.04195;0.0421;540000
MRKY;60;17/12/24;15:00:00;0.0419;0.0423;0.04165;0.042;1170000
MRKY;60;17/12/24;16:00:00;0.04165;0.04165;0.04105;0.04135;4070000
MRKY;60;17/12/24;17:00:00;0.0413;0.0424;0.0412;0.0413;25570000
MRKY;60;17/12/24;18:00:00;0.0414;0.04215;0.04125;0.0417;1950000
MRKY;60;17/12/24;19:00:00;0.0421;0.04215;0.04165;0.0418;720000
